Link,Point Order,Sub Polygon Id,Usa2163 Id,Distance,Latitude,Longitude,New Latitude,New Longitude,Number of Records,Origin Latitude,Origin Longitude
link,3623,165,5,387.470195318,38.4293,-77.3587,38.4293,-77.3587,1,39,-84.51
link,3624,165,5,388.119073960,38.4096,-77.3502,38.4096,-77.3502,1,39,-84.51
link,3625,165,5,389.749705434,38.3902,-77.3234,38.3902,-77.3234,1,39,-84.51
link,3626,165,5,390.624946622,38.3795,-77.3091,38.3795,-77.3091,1,39,-84.51
link,3627,165,5,391.363149148,38.3687,-77.2974,38.3687,-77.2974,1,39,-84.51
link,3628,165,5,391.872651224,38.3538,-77.2908,38.3538,-77.2908,1,39,-84.51
link,3629,165,5,391.256910163,38.3543,-77.3022,38.3543,-77.3022,1,39,-84.51
link,3630,165,5,390.136256413,38.3504,-77.3239,38.3504,-77.3239,1,39,-84.51
link,3631,165,5,389.126321283,38.3487,-77.3431,38.3487,-77.3431,1,39,-84.51
link,3632,165,5,389.437819945,38.3426,-77.3385,38.3426,-77.3385,1,39,-84.51
link,3633,165,5,391.942386892,38.3407,-77.2921,38.3407,-77.2921,1,39,-84.51
link,3634,165,5,394.366125452,38.3299,-77.249,38.3299,-77.249,1,39,-84.51
link,3635,165,5,397.624807881,38.3436,-77.1854,38.3436,-77.1854,1,39,-84.51
link,3636,165,5,398.580789079,38.3479,-77.1667,38.3479,-77.1667,1,39,-84.51
link,3637,165,5,400.159024168,38.3671,-77.1335,38.3671,-77.1335,1,39,-84.51
link,3638,165,5,402.711818290,38.3684,-77.0856,38.3684,-77.0856,1,39,-84.51
link,3639,165,5,403.903476395,38.3942,-77.0585,38.3942,-77.0585,1,39,-84.51
link,3640,165,5,404.835212056,38.3959,-77.0408,38.3959,-77.0408,1,39,-84.51
link,3641,165,5,406.041132246,38.3846,-77.0204,38.3846,-77.0204,1,39,-84.51
link,3642,165,5,406.465397698,38.3723,-77.0148,38.3723,-77.0148,1,39,-84.51
link,3643,165,5,406.524070465,38.3551,-77.017,38.3551,-77.017,1,39,-84.51
link,3644,165,5,406.805747938,38.3435,-77.014,38.3435,-77.014,1,39,-84.51
link,3645,165,5,406.916356205,38.3305,-77.0145,38.3305,-77.0145,1,39,-84.51
link,3646,165,5,406.572489000,38.3201,-77.023,38.3201,-77.023,1,39,-84.51
link,3647,165,5,405.695237788,38.3225,-77.0389,38.3225,-77.0389,1,39,-84.51
link,3648,165,5,404.988372070,38.323,-77.052,38.323,-77.052,1,39,-84.51
link,3649,165,5,405.017783511,38.3168,-77.0527,38.3168,-77.0527,1,39,-84.51
link,3650,165,5,405.815031836,38.3129,-77.0386,38.3129,-77.0386,1,39,-84.51
link,3651,165,5,406.326743922,38.3077,-77.0301,38.3077,-77.0301,1,39,-84.51
link,3652,165,5,408.247962657,38.2773,-77.0005,38.2773,-77.0005,1,39,-84.51
link,3653,165,5,409.692424125,38.2707,-76.9749,38.2707,-76.9749,1,39,-84.51
link,3654,165,5,410.240428931,38.2672,-76.9654,38.2672,-76.9654,1,39,-84.51
link,3655,165,5,410.620800971,38.2601,-76.9598,38.2601,-76.9598,1,39,-84.51
link,3656,165,5,411.020298140,38.2472,-76.9551,38.2472,-76.9551,1,39,-84.51
link,3657,165,5,411.075899673,38.2355,-76.9566,38.2355,-76.9566,1,39,-84.51
link,3658,165,5,411.021709791,38.2183,-76.9614,38.2183,-76.9614,1,39,-84.51
link,3659,165,5,411.503269673,38.2102,-76.9542,38.2102,-76.9542,1,39,-84.51
link,3660,165,5,413.843694990,38.1992,-76.9129,38.1992,-76.9129,1,39,-84.51
link,3661,165,5,415.776308525,38.177,-76.8818,38.177,-76.8818,1,39,-84.51
link,3662,165,5,418.686757863,38.1655,-76.83,38.1655,-76.83,1,39,-84.51
link,3663,165,5,420.402726997,38.1694,-76.797,38.1694,-76.797,1,39,-84.51
link,3664,165,5,421.602962069,38.167,-76.7751,38.167,-76.7751,1,39,-84.51
link,3665,165,5,422.676518692,38.161,-76.7564,38.161,-76.7564,1,39,-84.51
link,3666,165,5,423.153563527,38.1484,-76.7504,38.1484,-76.7504,1,39,-84.51
link,3667,165,5,423.893404209,38.1367,-76.7393,38.1367,-76.7393,1,39,-84.51
link,3668,165,5,425.116073035,38.1419,-76.7152,38.1419,-76.7152,1,39,-84.51
link,3669,165,5,426.243493418,38.1531,-76.6915,38.1531,-76.6915,1,39,-84.51
link,3670,165,5,426.702840715,38.1592,-76.6815,38.1592,-76.6815,1,39,-84.51
link,3671,165,5,427.339819374,38.1574,-76.67,38.1574,-76.67,1,39,-84.51
link,3672,165,5,427.828352925,38.1529,-76.6619,38.1529,-76.6619,1,39,-84.51
link,3673,165,5,428.253757046,38.1479,-76.6551,38.1479,-76.6551,1,39,-84.51
link,3674,165,5,428.706717126,38.145,-76.6473,38.145,-76.6473,1,39,-84.51
